Time,House,School,Health_center,Mosque,Water_pump
20131031:2007,0.458,0.15,0.15,0.1,0.29
20131031:2107,0.325,0.15,0.15,0.1,0.14
20131031:2207,0.203,0.15,0.15,0.1,0.14
20131031:2307,0.138,0.15,0.15,0.1,0.14
20131101:0007,0.066,0.15,0.15,0.1,0.14
20131101:0107,0.058,0.15,0.15,0.1,0.14
20131101:0207,0.058,0.15,0.15,0.1,0.14
20131101:0307,0.058,0.15,0.15,0.1,0.29
20131101:0407,0.199,0.15,0.15,0.85,0.43
20131101:0507,0.305,0.15,0.15,0.85,0.57
20131101:0607,0.335,0.46,0.46,0.5,0.71
20131101:0707,0.305,0.92,0.92,0.1,0.86
20131101:0807,0.256,0.92,0.92,0.1,1
20131101:0907,0.262,1,1,0.1,1
20131101:1007,0.302,1,1,0.1,1
20131101:1107,0.325,1,1,1,0.86
20131101:1207,0.421,1,1,1,0.71
20131101:1307,0.316,1,1,1,0.71
20131101:1407,0.255,1,1,0.5,0.86
20131101:1507,0.242,1,1,1,0.86
20131101:1607,0.249,0.85,0.85,1,1
20131101:1707,0.401,0.31,0.31,0.5,1
20131101:1807,0.75,0.15,0.15,1,0.71
20131101:1907,0.611,0.15,0.15,1,0.57
20131101:2007,0.412,0.15,0.15,0.1,0.29
20131101:2107,0.292,0.15,0.15,0.1,0.14
20131101:2207,0.183,0.15,0.15,0.1,0.14
20131101:2307,0.125,0.15,0.15,0.1,0.14
20131102:0007,0.066,0.15,0.15,0.1,0.14
20131102:0107,0.058,0.15,0.15,0.1,0.14
20131102:0207,0.058,0.15,0.15,0.1,0.14
20131102:0307,0.058,0.15,0.15,0.1,0.29
20131102:0407,0.199,0.15,0.15,0.85,0.43
20131102:0507,0.305,0.15,0.15,0.85,0.57
20131102:0607,0.335,0.46,0.46,0.5,0.71
20131102:0707,0.305,0.92,0.92,0.1,0.86
20131102:0807,0.256,0.92,0.92,0.1,1
20131102:0907,0.262,1,1,0.1,1
20131102:1007,0.302,1,1,0.1,1
20131102:1107,0.325,1,1,1,0.86
20131102:1207,0.421,1,1,1,0.71
20131102:1307,0.316,1,1,1,0.71
20131102:1407,0.255,1,1,0.5,0.86
20131102:1507,0.242,1,1,1,0.86
20131102:1607,0.249,0.85,0.85,1,1
20131102:1707,0.401,0.31,0.31,0.5,1
20131102:1807,0.75,0.15,0.15,1,0.71
20131102:1907,0.611,0.15,0.15,1,0.57
20131102:2007,0.412,0.15,0.15,0.1,0.29
20131102:2107,0.292,0.15,0.15,0.1,0.14
20131102:2207,0.183,0.15,0.15,0.1,0.14
20131102:2307,0.125,0.15,0.15,0.1,0.14
20131103:0007,0.066,0.15,0.15,0.1,0.14
20131103:0107,0.058,0.15,0.15,0.1,0.14
20131103:0207,0.058,0.15,0.15,0.1,0.14
20131103:0307,0.058,0.15,0.15,0.1,0.29
20131103:0407,0.199,0.15,0.15,0.85,0.43
20131103:0507,0.305,0.15,0.15,0.85,0.57
20131103:0607,0.335,0.46,0.46,0.5,0.71
20131103:0707,0.305,0.92,0.92,0.1,0.86
20131103:0807,0.256,0.92,0.92,0.1,1
20131103:0907,0.262,1,1,0.1,1
20131103:1007,0.302,1,1,0.1,1
20131103:1107,0.325,1,1,1,0.86
20131103:1207,0.421,1,1,1,0.71
20131103:1307,0.316,1,1,1,0.71
20131103:1407,0.255,1,1,0.5,0.86
20131103:1507,0.242,1,1,1,0.86
20131103:1607,0.249,0.85,0.85,1,1
20131103:1707,0.401,0.31,0.31,0.5,1
20131103:1807,0.75,0.15,0.15,1,0.71
20131103:1907,0.611,0.15,0.15,1,0.57
20131103:2007,0.412,0.15,0.15,0.1,0.29
20131103:2107,0.292,0.15,0.15,0.1,0.14
20131103:2207,0.183,0.15,0.15,0.1,0.14
20131103:2307,0.125,0.15,0.15,0.1,0.14
20131104:0007,0.066,0.15,0.15,0.1,0.14
20131104:0107,0.058,0.15,0.15,0.1,0.14
20131104:0207,0.058,0.15,0.15,0.1,0.14
20131104:0307,0.058,0.15,0.15,0.1,0.29
20131104:0407,0.199,0.15,0.15,0.85,0.43
20131104:0507,0.305,0.15,0.15,0.85,0.57
20131104:0607,0.335,0.46,0.46,0.5,0.71
20131104:0707,0.305,0.92,0.92,0.1,0.86
20131104:0807,0.256,0.92,0.92,0.1,1
20131104:0907,0.262,1,1,0.1,1
20131104:1007,0.302,1,1,0.1,1
20131104:1107,0.325,1,1,1,0.86
20131104:1207,0.421,1,1,1,0.71
20131104:1307,0.316,1,1,1,0.71
20131104:1407,0.255,1,1,0.5,0.86
20131104:1507,0.242,1,1,1,0.86
20131104:1607,0.249,0.85,0.85,1,1
20131104:1707,0.401,0.31,0.31,0.5,1
20131104:1807,0.75,0.15,0.15,1,0.71
20131104:1907,0.611,0.15,0.15,1,0.57
20131104:2007,0.412,0.15,0.15,0.1,0.29
20131104:2107,0.292,0.15,0.15,0.1,0.14
20131104:2207,0.183,0.15,0.15,0.1,0.14
20131104:2307,0.125,0.15,0.15,0.1,0.14
20131105:0007,0.066,0.15,0.15,0.1,0.14
20131105:0107,0.058,0.15,0.15,0.1,0.14
20131105:0207,0.058,0.15,0.15,0.1,0.14
20131105:0307,0.058,0.15,0.15,0.1,0.29
20131105:0407,0.199,0.15,0.15,0.85,0.43
20131105:0507,0.305,0.15,0.15,0.85,0.57
20131105:0607,0.335,0.46,0.46,0.5,0.71
20131105:0707,0.305,0.92,0.92,0.1,0.86
20131105:0807,0.256,0.92,0.92,0.1,1
20131105:0907,0.262,1,1,0.1,1
20131105:1007,0.302,1,1,0.1,1
20131105:1107,0.325,1,1,1,0.86
20131105:1207,0.421,1,1,1,0.71
20131105:1307,0.316,1,1,1,0.71
20131105:1407,0.255,1,1,0.5,0.86
20131105:1507,0.242,1,1,1,0.86
20131105:1607,0.249,0.85,0.85,1,1
20131105:1707,0.401,0.31,0.31,0.5,1
20131105:1807,0.75,0.15,0.15,1,0.71
20131105:1907,0.611,0.15,0.15,1,0.57
20131105:2007,0.412,0.15,0.15,0.1,0.29
20131105:2107,0.292,0.15,0.15,0.1,0.14
20131105:2207,0.183,0.15,0.15,0.1,0.14
20131105:2307,0.125,0.15,0.15,0.1,0.14
20131106:0007,0.066,0.15,0.15,0.1,0.14
20131106:0107,0.058,0.15,0.15,0.1,0.14
20131106:0207,0.058,0.15,0.15,0.1,0.14
20131106:0307,0.058,0.15,0.15,0.1,0.29
20131106:0407,0.199,0.15,0.15,0.85,0.43
20131106:0507,0.305,0.15,0.15,0.85,0.57
20131106:0607,0.335,0.46,0.46,0.5,0.71
20131106:0707,0.305,0.92,0.92,0.1,0.86
20131106:0807,0.256,0.92,0.92,0.1,1
20131106:0907,0.262,1,1,0.1,1
20131106:1007,0.302,1,1,0.1,1
20131106:1107,0.325,1,1,1,0.86
20131106:1207,0.421,1,1,1,0.71
20131106:1307,0.316,1,1,1,0.71
20131106:1407,0.255,1,1,0.5,0.86
20131106:1507,0.242,1,1,1,0.86
20131106:1607,0.249,0.85,0.85,1,1
20131106:1707,0.401,0.31,0.31,0.5,1
20131106:1807,0.75,0.15,0.15,1,0.71
20131106:1907,0.611,0.15,0.15,1,0.57
20131106:2007,0.412,0.15,0.15,0.1,0.29
20131106:2107,0.292,0.15,0.15,0.1,0.14
20131106:2207,0.183,0.15,0.15,0.1,0.14
20131106:2307,0.125,0.15,0.15,0.1,0.14
20131107:0007,0.066,0.15,0.15,0.1,0.14
20131107:0107,0.058,0.15,0.15,0.1,0.14
20131107:0207,0.058,0.15,0.15,0.1,0.14
20131107:0307,0.058,0.15,0.15,0.1,0.29
20131107:0407,0.199,0.15,0.15,0.85,0.43
20131107:0507,0.305,0.15,0.15,0.85,0.57
20131107:0607,0.335,0.46,0.46,0.5,0.71
20131107:0707,0.305,0.92,0.92,0.1,0.86
20131107:0807,0.256,0.92,0.92,0.1,1
20131107:0907,0.262,1,1,0.1,1
20131107:1007,0.302,1,1,0.1,1
20131107:1107,0.325,1,1,1,0.86
20131107:1207,0.421,1,1,1,0.71
20131107:1307,0.316,1,1,1,0.71
20131107:1407,0.255,1,1,0.5,0.86
20131107:1507,0.242,1,1,1,0.86
20131107:1607,0.249,0.85,0.85,1,1
20131107:1707,0.401,0.31,0.31,0.5,1
20131107:1807,0.75,0.15,0.15,1,0.71
20131107:1907,0.611,0.15,0.15,1,0.57
20131107:2007,0.412,0.15,0.15,0.1,0.29
20131107:2107,0.292,0.15,0.15,0.1,0.14
20131107:2207,0.183,0.15,0.15,0.1,0.14
20131107:2307,0.125,0.15,0.15,0.1,0.14
20131108:0007,0.066,0.15,0.15,0.1,0.14
20131108:0107,0.058,0.15,0.15,0.1,0.14
20131108:0207,0.058,0.15,0.15,0.1,0.14
20131108:0307,0.058,0.15,0.15,0.1,0.29
20131108:0407,0.199,0.15,0.15,0.85,0.43
20131108:0507,0.305,0.15,0.15,0.85,0.57
20131108:0607,0.335,0.46,0.46,0.5,0.71
20131108:0707,0.305,0.92,0.92,0.1,0.86
20131108:0807,0.256,0.92,0.92,0.1,1
20131108:0907,0.262,1,1,0.1,1
20131108:1007,0.302,1,1,0.1,1
20131108:1107,0.325,1,1,1,0.86
20131108:1207,0.421,1,1,1,0.71
20131108:1307,0.316,1,1,1,0.71
20131108:1407,0.255,1,1,0.5,0.86
20131108:1507,0.242,1,1,1,0.86
20131108:1607,0.249,0.85,0.85,1,1
20131108:1707,0.401,0.31,0.31,0.5,1
20131108:1807,0.75,0.15,0.15,1,0.71
20131108:1907,0.611,0.15,0.15,1,0.57
20131108:2007,0.412,0.15,0.15,0.1,0.29
20131108:2107,0.292,0.15,0.15,0.1,0.14
20131108:2207,0.183,0.15,0.15,0.1,0.14
20131108:2307,0.125,0.15,0.15,0.1,0.14
20131109:0007,0.066,0.15,0.15,0.1,0.14
20131109:0107,0.058,0.15,0.15,0.1,0.14
20131109:0207,0.058,0.15,0.15,0.1,0.14
20131109:0307,0.058,0.15,0.15,0.1,0.29
20131109:0407,0.199,0.15,0.15,0.85,0.43
20131109:0507,0.305,0.15,0.15,0.85,0.57
20131109:0607,0.335,0.46,0.46,0.5,0.71
20131109:0707,0.305,0.92,0.92,0.1,0.86
20131109:0807,0.256,0.92,0.92,0.1,1
20131109:0907,0.262,1,1,0.1,1
20131109:1007,0.302,1,1,0.1,1
20131109:1107,0.325,1,1,1,0.86
20131109:1207,0.421,1,1,1,0.71
20131109:1307,0.316,1,1,1,0.71
20131109:1407,0.255,1,1,0.5,0.86
20131109:1507,0.242,1,1,1,0.86
20131109:1607,0.249,0.85,0.85,1,1
20131109:1707,0.401,0.31,0.31,0.5,1
20131109:1807,0.75,0.15,0.15,1,0.71
20131109:1907,0.611,0.15,0.15,1,0.57
20131109:2007,0.412,0.15,0.15,0.1,0.29
20131109:2107,0.292,0.15,0.15,0.1,0.14
20131109:2207,0.183,0.15,0.15,0.1,0.14
20131109:2307,0.125,0.15,0.15,0.1,0.14
20131110:0007,0.066,0.15,0.15,0.1,0.14
20131110:0107,0.058,0.15,0.15,0.1,0.14
20131110:0207,0.058,0.15,0.15,0.1,0.14
20131110:0307,0.058,0.15,0.15,0.1,0.29
20131110:0407,0.199,0.15,0.15,0.85,0.43
20131110:0507,0.305,0.15,0.15,0.85,0.57
20131110:0607,0.335,0.46,0.46,0.5,0.71
20131110:0707,0.305,0.92,0.92,0.1,0.86
20131110:0807,0.256,0.92,0.92,0.1,1
20131110:0907,0.262,1,1,0.1,1
20131110:1007,0.302,1,1,0.1,1
20131110:1107,0.325,1,1,1,0.86
20131110:1207,0.421,1,1,1,0.71
20131110:1307,0.316,1,1,1,0.71
20131110:1407,0.255,1,1,0.5,0.86
20131110:1507,0.242,1,1,1,0.86
20131110:1607,0.249,0.85,0.85,1,1
20131110:1707,0.401,0.31,0.31,0.5,1
20131110:1807,0.75,0.15,0.15,1,0.71
20131110:1907,0.611,0.15,0.15,1,0.57
20131110:2007,0.412,0.15,0.15,0.1,0.29
20131110:2107,0.292,0.15,0.15,0.1,0.14
20131110:2207,0.183,0.15,0.15,0.1,0.14
20131110:2307,0.125,0.15,0.15,0.1,0.14
20131111:0007,0.066,0.15,0.15,0.1,0.14
20131111:0107,0.058,0.15,0.15,0.1,0.14
20131111:0207,0.058,0.15,0.15,0.1,0.14
20131111:0307,0.058,0.15,0.15,0.1,0.29
20131111:0407,0.199,0.15,0.15,0.85,0.43
20131111:0507,0.305,0.15,0.15,0.85,0.57
20131111:0607,0.335,0.46,0.46,0.5,0.71
20131111:0707,0.305,0.92,0.92,0.1,0.86
20131111:0807,0.256,0.92,0.92,0.1,1
20131111:0907,0.262,1,1,0.1,1
20131111:1007,0.302,1,1,0.1,1
20131111:1107,0.325,1,1,1,0.86
20131111:1207,0.421,1,1,1,0.71
20131111:1307,0.316,1,1,1,0.71
20131111:1407,0.255,1,1,0.5,0.86
20131111:1507,0.242,1,1,1,0.86
20131111:1607,0.249,0.85,0.85,1,1
20131111:1707,0.401,0.31,0.31,0.5,1
20131111:1807,0.75,0.15,0.15,1,0.71
20131111:1907,0.611,0.15,0.15,1,0.57
20131111:2007,0.412,0.15,0.15,0.1,0.29
20131111:2107,0.292,0.15,0.15,0.1,0.14
20131111:2207,0.183,0.15,0.15,0.1,0.14
20131111:2307,0.125,0.15,0.15,0.1,0.14
20131112:0007,0.066,0.15,0.15,0.1,0.14
20131112:0107,0.058,0.15,0.15,0.1,0.14
20131112:0207,0.058,0.15,0.15,0.1,0.14
20131112:0307,0.058,0.15,0.15,0.1,0.29
20131112:0407,0.199,0.15,0.15,0.85,0.43
20131112:0507,0.305,0.15,0.15,0.85,0.57
20131112:0607,0.335,0.46,0.46,0.5,0.71
20131112:0707,0.305,0.92,0.92,0.1,0.86
20131112:0807,0.256,0.92,0.92,0.1,1
20131112:0907,0.262,1,1,0.1,1
20131112:1007,0.302,1,1,0.1,1
20131112:1107,0.325,1,1,1,0.86
20131112:1207,0.421,1,1,1,0.71
20131112:1307,0.316,1,1,1,0.71
20131112:1407,0.255,1,1,0.5,0.86
20131112:1507,0.242,1,1,1,0.86
20131112:1607,0.249,0.85,0.85,1,1
20131112:1707,0.401,0.31,0.31,0.5,1
20131112:1807,0.75,0.15,0.15,1,0.71
20131112:1907,0.611,0.15,0.15,1,0.57
20131112:2007,0.412,0.15,0.15,0.1,0.29
20131112:2107,0.292,0.15,0.15,0.1,0.14
20131112:2207,0.183,0.15,0.15,0.1,0.14
20131112:2307,0.125,0.15,0.15,0.1,0.14
20131113:0007,0.066,0.15,0.15,0.1,0.14
20131113:0107,0.058,0.15,0.15,0.1,0.14
20131113:0207,0.058,0.15,0.15,0.1,0.14
20131113:0307,0.058,0.15,0.15,0.1,0.29
20131113:0407,0.199,0.15,0.15,0.85,0.43
20131113:0507,0.305,0.15,0.15,0.85,0.57
20131113:0607,0.335,0.46,0.46,0.5,0.71
20131113:0707,0.305,0.92,0.92,0.1,0.86
20131113:0807,0.256,0.92,0.92,0.1,1
20131113:0907,0.262,1,1,0.1,1
20131113:1007,0.302,1,1,0.1,1
20131113:1107,0.325,1,1,1,0.86
20131113:1207,0.421,1,1,1,0.71
20131113:1307,0.316,1,1,1,0.71
20131113:1407,0.255,1,1,0.5,0.86
20131113:1507,0.242,1,1,1,0.86
20131113:1607,0.249,0.85,0.85,1,1
20131113:1707,0.401,0.31,0.31,0.5,1
20131113:1807,0.75,0.15,0.15,1,0.71
20131113:1907,0.611,0.15,0.15,1,0.57
20131113:2007,0.412,0.15,0.15,0.1,0.29
20131113:2107,0.292,0.15,0.15,0.1,0.14
20131113:2207,0.183,0.15,0.15,0.1,0.14
20131113:2307,0.125,0.15,0.15,0.1,0.14
20131114:0007,0.066,0.15,0.15,0.1,0.14
20131114:0107,0.058,0.15,0.15,0.1,0.14
20131114:0207,0.058,0.15,0.15,0.1,0.14
20131114:0307,0.058,0.15,0.15,0.1,0.29
20131114:0407,0.199,0.15,0.15,0.85,0.43
20131114:0507,0.305,0.15,0.15,0.85,0.57
20131114:0607,0.335,0.46,0.46,0.5,0.71
20131114:0707,0.305,0.92,0.92,0.1,0.86
20131114:0807,0.256,0.92,0.92,0.1,1
20131114:0907,0.262,1,1,0.1,1
20131114:1007,0.302,1,1,0.1,1
20131114:1107,0.325,1,1,1,0.86
20131114:1207,0.421,1,1,1,0.71
20131114:1307,0.316,1,1,1,0.71
20131114:1407,0.255,1,1,0.5,0.86
20131114:1507,0.242,1,1,1,0.86
20131114:1607,0.249,0.85,0.85,1,1
20131114:1707,0.401,0.31,0.31,0.5,1
20131114:1807,0.75,0.15,0.15,1,0.71
20131114:1907,0.611,0.15,0.15,1,0.57
20131114:2007,0.412,0.15,0.15,0.1,0.29
20131114:2107,0.292,0.15,0.15,0.1,0.14
20131114:2207,0.183,0.15,0.15,0.1,0.14
20131114:2307,0.125,0.15,0.15,0.1,0.14
20131115:0007,0.066,0.15,0.15,0.1,0.14
20131115:0107,0.058,0.15,0.15,0.1,0.14
20131115:0207,0.058,0.15,0.15,0.1,0.14
20131115:0307,0.058,0.15,0.15,0.1,0.29
20131115:0407,0.199,0.15,0.15,0.85,0.43
20131115:0507,0.305,0.15,0.15,0.85,0.57
20131115:0607,0.335,0.46,0.46,0.5,0.71
20131115:0707,0.305,0.92,0.92,0.1,0.86
20131115:0807,0.256,0.92,0.92,0.1,1
20131115:0907,0.262,1,1,0.1,1
20131115:1007,0.302,1,1,0.1,1
20131115:1107,0.325,1,1,1,0.86
20131115:1207,0.421,1,1,1,0.71
20131115:1307,0.316,1,1,1,0.71
20131115:1407,0.255,1,1,0.5,0.86
20131115:1507,0.242,1,1,1,0.86
20131115:1607,0.249,0.85,0.85,1,1
20131115:1707,0.401,0.31,0.31,0.5,1
20131115:1807,0.75,0.15,0.15,1,0.71
20131115:1907,0.611,0.15,0.15,1,0.57
20131115:2007,0.412,0.15,0.15,0.1,0.29
20131115:2107,0.292,0.15,0.15,0.1,0.14
20131115:2207,0.183,0.15,0.15,0.1,0.14
20131115:2307,0.125,0.15,0.15,0.1,0.14
20131116:0007,0.066,0.15,0.15,0.1,0.14
20131116:0107,0.058,0.15,0.15,0.1,0.14
20131116:0207,0.058,0.15,0.15,0.1,0.14
20131116:0307,0.058,0.15,0.15,0.1,0.29
20131116:0407,0.199,0.15,0.15,0.85,0.43
20131116:0507,0.305,0.15,0.15,0.85,0.57
20131116:0607,0.335,0.46,0.46,0.5,0.71
20131116:0707,0.305,0.92,0.92,0.1,0.86
20131116:0807,0.256,0.92,0.92,0.1,1
20131116:0907,0.262,1,1,0.1,1
20131116:1007,0.302,1,1,0.1,1
20131116:1107,0.325,1,1,1,0.86
20131116:1207,0.421,1,1,1,0.71
20131116:1307,0.316,1,1,1,0.71
20131116:1407,0.255,1,1,0.5,0.86
20131116:1507,0.242,1,1,1,0.86
20131116:1607,0.249,0.85,0.85,1,1
20131116:1707,0.401,0.31,0.31,0.5,1
20131116:1807,0.75,0.15,0.15,1,0.71
20131116:1907,0.611,0.15,0.15,1,0.57
20131116:2007,0.412,0.15,0.15,0.1,0.29
20131116:2107,0.292,0.15,0.15,0.1,0.14
20131116:2207,0.183,0.15,0.15,0.1,0.14
20131116:2307,0.125,0.15,0.15,0.1,0.14
20131117:0007,0.066,0.15,0.15,0.1,0.14
20131117:0107,0.058,0.15,0.15,0.1,0.14
20131117:0207,0.058,0.15,0.15,0.1,0.14
20131117:0307,0.058,0.15,0.15,0.1,0.29
20131117:0407,0.199,0.15,0.15,0.85,0.43
20131117:0507,0.305,0.15,0.15,0.85,0.57
20131117:0607,0.335,0.46,0.46,0.5,0.71
20131117:0707,0.305,0.92,0.92,0.1,0.86
20131117:0807,0.256,0.92,0.92,0.1,1
20131117:0907,0.262,1,1,0.1,1
20131117:1007,0.302,1,1,0.1,1
20131117:1107,0.325,1,1,1,0.86
20131117:1207,0.421,1,1,1,0.71
20131117:1307,0.316,1,1,1,0.71
20131117:1407,0.255,1,1,0.5,0.86
20131117:1507,0.242,1,1,1,0.86
20131117:1607,0.249,0.85,0.85,1,1
20131117:1707,0.401,0.31,0.31,0.5,1
20131117:1807,0.75,0.15,0.15,1,0.71
20131117:1907,0.611,0.15,0.15,1,0.57
20131117:2007,0.412,0.15,0.15,0.1,0.29
20131117:2107,0.292,0.15,0.15,0.1,0.14
20131117:2207,0.183,0.15,0.15,0.1,0.14
20131117:2307,0.125,0.15,0.15,0.1,0.14
20131118:0007,0.066,0.15,0.15,0.1,0.14
20131118:0107,0.058,0.15,0.15,0.1,0.14
20131118:0207,0.058,0.15,0.15,0.1,0.14
20131118:0307,0.058,0.15,0.15,0.1,0.29
20131118:0407,0.199,0.15,0.15,0.85,0.43
20131118:0507,0.305,0.15,0.15,0.85,0.57
20131118:0607,0.335,0.46,0.46,0.5,0.71
20131118:0707,0.305,0.92,0.92,0.1,0.86
20131118:0807,0.256,0.92,0.92,0.1,1
20131118:0907,0.262,1,1,0.1,1
20131118:1007,0.302,1,1,0.1,1
20131118:1107,0.325,1,1,1,0.86
20131118:1207,0.421,1,1,1,0.71
20131118:1307,0.316,1,1,1,0.71
20131118:1407,0.255,1,1,0.5,0.86
20131118:1507,0.242,1,1,1,0.86
20131118:1607,0.249,0.85,0.85,1,1
20131118:1707,0.401,0.31,0.31,0.5,1
20131118:1807,0.75,0.15,0.15,1,0.71
20131118:1907,0.611,0.15,0.15,1,0.57
20131118:2007,0.412,0.15,0.15,0.1,0.29
20131118:2107,0.292,0.15,0.15,0.1,0.14
20131118:2207,0.183,0.15,0.15,0.1,0.14
20131118:2307,0.125,0.15,0.15,0.1,0.14
20131119:0007,0.066,0.15,0.15,0.1,0.14
20131119:0107,0.058,0.15,0.15,0.1,0.14
20131119:0207,0.058,0.15,0.15,0.1,0.14
20131119:0307,0.058,0.15,0.15,0.1,0.29
20131119:0407,0.199,0.15,0.15,0.85,0.43
20131119:0507,0.305,0.15,0.15,0.85,0.57
20131119:0607,0.335,0.46,0.46,0.5,0.71
20131119:0707,0.305,0.92,0.92,0.1,0.86
20131119:0807,0.256,0.92,0.92,0.1,1
20131119:0907,0.262,1,1,0.1,1
20131119:1007,0.302,1,1,0.1,1
20131119:1107,0.325,1,1,1,0.86
20131119:1207,0.421,1,1,1,0.71
20131119:1307,0.316,1,1,1,0.71
20131119:1407,0.255,1,1,0.5,0.86
20131119:1507,0.242,1,1,1,0.86
20131119:1607,0.249,0.85,0.85,1,1
20131119:1707,0.401,0.31,0.31,0.5,1
20131119:1807,0.75,0.15,0.15,1,0.71
20131119:1907,0.611,0.15,0.15,1,0.57
20131119:2007,0.412,0.15,0.15,0.1,0.29
20131119:2107,0.292,0.15,0.15,0.1,0.14
20131119:2207,0.183,0.15,0.15,0.1,0.14
20131119:2307,0.125,0.15,0.15,0.1,0.14
20131120:0007,0.066,0.15,0.15,0.1,0.14
20131120:0107,0.058,0.15,0.15,0.1,0.14
20131120:0207,0.058,0.15,0.15,0.1,0.14
20131120:0307,0.058,0.15,0.15,0.1,0.29
20131120:0407,0.199,0.15,0.15,0.85,0.43
20131120:0507,0.305,0.15,0.15,0.85,0.57
20131120:0607,0.335,0.46,0.46,0.5,0.71
20131120:0707,0.305,0.92,0.92,0.1,0.86
20131120:0807,0.256,0.92,0.92,0.1,1
20131120:0907,0.262,1,1,0.1,1
20131120:1007,0.302,1,1,0.1,1
20131120:1107,0.325,1,1,1,0.86
20131120:1207,0.421,1,1,1,0.71
20131120:1307,0.316,1,1,1,0.71
20131120:1407,0.255,1,1,0.5,0.86
20131120:1507,0.242,1,1,1,0.86
20131120:1607,0.249,0.85,0.85,1,1
20131120:1707,0.401,0.31,0.31,0.5,1
20131120:1807,0.75,0.15,0.15,1,0.71
20131120:1907,0.611,0.15,0.15,1,0.57
20131120:2007,0.412,0.15,0.15,0.1,0.29
20131120:2107,0.292,0.15,0.15,0.1,0.14
20131120:2207,0.183,0.15,0.15,0.1,0.14
20131120:2307,0.125,0.15,0.15,0.1,0.14
20131121:0007,0.066,0.15,0.15,0.1,0.14
20131121:0107,0.058,0.15,0.15,0.1,0.14
20131121:0207,0.058,0.15,0.15,0.1,0.14
20131121:0307,0.058,0.15,0.15,0.1,0.29
20131121:0407,0.199,0.15,0.15,0.85,0.43
20131121:0507,0.305,0.15,0.15,0.85,0.57
20131121:0607,0.335,0.46,0.46,0.5,0.71
20131121:0707,0.305,0.92,0.92,0.1,0.86
20131121:0807,0.256,0.92,0.92,0.1,1
20131121:0907,0.262,1,1,0.1,1
20131121:1007,0.302,1,1,0.1,1
20131121:1107,0.325,1,1,1,0.86
20131121:1207,0.421,1,1,1,0.71
20131121:1307,0.316,1,1,1,0.71
20131121:1407,0.255,1,1,0.5,0.86
20131121:1507,0.242,1,1,1,0.86
20131121:1607,0.249,0.85,0.85,1,1
20131121:1707,0.401,0.31,0.31,0.5,1
20131121:1807,0.75,0.15,0.15,1,0.71
20131121:1907,0.611,0.15,0.15,1,0.57
20131121:2007,0.412,0.15,0.15,0.1,0.29
20131121:2107,0.292,0.15,0.15,0.1,0.14
20131121:2207,0.183,0.15,0.15,0.1,0.14
20131121:2307,0.125,0.15,0.15,0.1,0.14
20131122:0007,0.066,0.15,0.15,0.1,0.14
20131122:0107,0.058,0.15,0.15,0.1,0.14
20131122:0207,0.058,0.15,0.15,0.1,0.14
20131122:0307,0.058,0.15,0.15,0.1,0.29
20131122:0407,0.199,0.15,0.15,0.85,0.43
20131122:0507,0.305,0.15,0.15,0.85,0.57
20131122:0607,0.335,0.46,0.46,0.5,0.71
20131122:0707,0.305,0.92,0.92,0.1,0.86
20131122:0807,0.256,0.92,0.92,0.1,1
20131122:0907,0.262,1,1,0.1,1
20131122:1007,0.302,1,1,0.1,1
20131122:1107,0.325,1,1,1,0.86
20131122:1207,0.421,1,1,1,0.71
20131122:1307,0.316,1,1,1,0.71
20131122:1407,0.255,1,1,0.5,0.86
20131122:1507,0.242,1,1,1,0.86
20131122:1607,0.249,0.85,0.85,1,1
20131122:1707,0.401,0.31,0.31,0.5,1
20131122:1807,0.75,0.15,0.15,1,0.71
20131122:1907,0.611,0.15,0.15,1,0.57
20131122:2007,0.412,0.15,0.15,0.1,0.29
20131122:2107,0.292,0.15,0.15,0.1,0.14
20131122:2207,0.183,0.15,0.15,0.1,0.14
20131122:2307,0.125,0.15,0.15,0.1,0.14
20131123:0007,0.066,0.15,0.15,0.1,0.14
20131123:0107,0.058,0.15,0.15,0.1,0.14
20131123:0207,0.058,0.15,0.15,0.1,0.14
20131123:0307,0.058,0.15,0.15,0.1,0.29
20131123:0407,0.199,0.15,0.15,0.85,0.43
20131123:0507,0.305,0.15,0.15,0.85,0.57
20131123:0607,0.335,0.46,0.46,0.5,0.71
20131123:0707,0.305,0.92,0.92,0.1,0.86
20131123:0807,0.256,0.92,0.92,0.1,1
20131123:0907,0.262,1,1,0.1,1
20131123:1007,0.302,1,1,0.1,1
20131123:1107,0.325,1,1,1,0.86
20131123:1207,0.421,1,1,1,0.71
20131123:1307,0.316,1,1,1,0.71
20131123:1407,0.255,1,1,0.5,0.86
20131123:1507,0.242,1,1,1,0.86
20131123:1607,0.249,0.85,0.85,1,1
20131123:1707,0.401,0.31,0.31,0.5,1
20131123:1807,0.75,0.15,0.15,1,0.71
20131123:1907,0.611,0.15,0.15,1,0.57
20131123:2007,0.412,0.15,0.15,0.1,0.29
20131123:2107,0.292,0.15,0.15,0.1,0.14
20131123:2207,0.183,0.15,0.15,0.1,0.14
20131123:2307,0.125,0.15,0.15,0.1,0.14
20131124:0007,0.066,0.15,0.15,0.1,0.14
20131124:0107,0.058,0.15,0.15,0.1,0.14
20131124:0207,0.058,0.15,0.15,0.1,0.14
20131124:0307,0.058,0.15,0.15,0.1,0.29
20131124:0407,0.199,0.15,0.15,0.85,0.43
